Timestamp,Orientation,Inclination,Time_of_day,Date
343806555.00,126.47,77.20,00:49:15,
343806557.00,127.27,78.27,00:49:17,
343806559.00,125.88,78.31,00:49:19,
343806561.00,127.87,78.11,00:49:21,
343806563.00,126.25,77.86,00:49:23,
343806565.01,125.88,78.31,00:49:25,
343806567.01,130.60,76.78,00:49:27,
343806569.01,132.14,77.07,00:49:29,
343806571.01,128.21,77.74,00:49:31,
343806573.01,130.71,78.06,00:49:33,
343806575.02,130.06,77.26,00:49:35,
343806577.02,125.66,78.03,00:49:37,
343806579.02,128.50,77.95,00:49:39,
343806581.02,130.71,79.03,00:49:41,
343806583.02,117.03,77.69,00:49:43,
343806585.02,131.47,79.15,00:49:45,
343806587.03,132.83,77.88,00:49:47,
343806589.03,129.94,77.92,00:49:49,
343806591.03,128.50,78.93,00:49:51,
343806593.03,128.50,78.93,00:49:53,
343806595.03,130.71,79.03,00:49:55,
343806597.03,131.47,78.19,00:49:57,
343806599.04,132.14,79.01,00:49:59,
343806601.04,128.50,78.93,00:50:01,2011-11-24
343806603.04,131.47,79.15,00:50:03,
343806605.04,130.71,79.03,00:50:05,
343806607.04,132.14,78.04,00:50:07,
343806609.05,130.71,79.03,00:50:09,
343806611.05,129.94,77.92,00:50:11,
343806613.05,129.29,79.05,00:50:13,
343806615.05,130.71,79.03,00:50:15,
343806617.05,130.60,78.75,00:50:17,
343806619.05,96.88,80.29,00:50:19,
343806621.06,111.99,79.89,00:50:21,
343806623.06,127.07,77.02,00:50:23,
343806625.06,132.14,78.04,00:50:25,
343806627.06,131.38,78.88,00:50:27,
343806629.06,128.66,78.24,00:50:29,
343806631.07,125.07,79.16,00:50:31,
343806633.07,129.94,77.92,00:50:33,
343806635.07,129.94,78.90,00:50:35,
343806637.07,127.69,77.82,00:50:37,
343806639.07,130.06,78.21,00:50:39,
343806641.07,132.14,79.01,00:50:41,
343806643.08,129.29,80.02,00:50:43,
343806645.08,128.50,78.93,00:50:45,
343806647.08,128.50,78.93,00:50:47,
343806649.08,128.66,78.24,00:50:49,
343806651.08,128.50,78.93,00:50:51,
343806653.08,128.66,78.24,00:50:53,
343806655.09,128.50,77.95,00:50:55,
343806657.09,130.06,78.21,00:50:57,
343806659.09,127.69,78.81,00:50:59,
343806661.09,129.29,79.05,00:51:01,2011-11-24
343806663.09,129.29,79.05,00:51:03,
343806665.09,128.50,78.93,00:51:05,
343806667.10,129.94,77.92,00:51:07,
343806669.10,129.29,79.05,00:51:09,
343806671.10,129.94,78.90,00:51:11,
343806673.10,129.29,78.08,00:51:13,
343806675.10,129.94,77.92,00:51:15,
343806677.11,127.87,79.08,00:51:17,
343806679.11,130.06,78.21,00:51:19,
343806681.11,128.50,78.93,00:51:21,
343806683.11,129.29,79.05,00:51:23,
343806685.11,128.50,78.93,00:51:25,
343806687.11,129.94,78.90,00:51:27,
343806689.12,128.50,78.93,00:51:29,
343806691.12,129.94,78.90,00:51:31,
343806693.12,128.50,77.95,00:51:33,
343806695.12,129.29,79.05,00:51:35,
343806697.12,127.87,78.11,00:51:37,
343806699.13,129.29,78.08,00:51:39,
343806701.13,130.06,78.21,00:51:41,
343806703.13,130.71,79.03,00:51:43,
343806705.13,129.29,78.08,00:51:45,
343806707.13,128.50,77.95,00:51:47,
343806709.13,129.29,79.05,00:51:49,
343806711.14,129.29,78.08,00:51:51,
343806713.14,130.06,79.17,00:51:53,
343806715.14,129.29,78.08,00:51:55,
343806717.14,129.94,78.90,00:51:57,
343806719.14,128.50,78.93,00:51:59,
343806721.14,129.94,78.90,00:52:01,2011-11-24
343806723.15,129.29,78.08,00:52:03,
343806725.15,130.06,79.17,00:52:05,
343806727.15,128.50,77.95,00:52:07,
343806729.15,129.29,79.05,00:52:09,
343806731.15,129.29,78.08,00:52:11,
343806733.15,127.27,79.23,00:52:13,
343806735.16,123.69,78.25,00:52:15,
343806737.16,127.07,77.99,00:52:17,
343806739.16,127.69,77.82,00:52:19,
343806741.16,129.94,78.90,00:52:21,
343806743.16,129.29,78.08,00:52:23,
343806745.17,128.50,77.95,00:52:25,
343806747.17,128.50,77.95,00:52:27,
343806749.17,128.50,78.93,00:52:29,
343806751.17,129.29,78.08,00:52:31,
343806753.17,129.29,79.05,00:52:33,
343806755.17,129.29,78.08,00:52:35,
343806757.18,128.50,77.95,00:52:37,
343806759.18,129.29,79.05,00:52:39,
343806761.18,127.27,79.23,00:52:41,
343806763.18,127.69,78.81,00:52:43,
343806765.18,127.87,79.08,00:52:45,
343806767.18,127.87,77.15,00:52:47,
343806769.19,127.69,78.81,00:52:49,
343806771.19,128.50,77.95,00:52:51,
343806773.19,128.50,78.93,00:52:53,
343806775.19,128.66,78.24,00:52:55,
343806777.19,129.29,79.05,00:52:57,
343806779.19,128.50,78.93,00:52:59,
343806781.20,127.69,77.82,00:53:01,2011-11-24
343806783.20,129.29,78.08,00:53:03,
343806785.20,127.87,79.08,00:53:05,
343806787.20,129.29,78.08,00:53:07,
343806789.20,128.50,77.95,00:53:09,
343806791.21,129.14,78.78,00:53:11,
343806793.21,127.87,78.11,00:53:13,
343806795.21,129.29,78.08,00:53:15,
343806797.21,127.87,78.11,00:53:17,
343806799.21,128.50,77.95,00:53:19,
343806801.21,127.87,77.15,00:53:21,
343806803.22,128.50,77.95,00:53:23,
343806805.22,127.87,77.15,00:53:25,
343806807.22,127.87,78.11,00:53:27,
343806809.22,129.14,78.78,00:53:29,
343806811.22,128.50,77.95,00:53:31,
343806813.23,129.29,78.08,00:53:33,
343806815.23,128.50,77.95,00:53:35,
343806817.23,128.50,78.93,00:53:37,
343806819.23,127.87,78.11,00:53:39,
343806821.23,128.50,77.95,00:53:41,
343806823.23,128.50,77.95,00:53:43,
343806825.24,127.87,78.11,00:53:45,
343806827.24,128.50,77.95,00:53:47,
343806829.24,127.07,77.99,00:53:49,
343806831.24,127.87,78.11,00:53:51,
343806833.24,130.06,79.17,00:53:53,
343806835.25,127.07,77.99,00:53:55,
343806837.25,129.29,79.05,00:53:57,
343806839.25,128.50,77.95,00:53:59,
343806841.25,127.87,78.11,00:54:01,2011-11-24
343806843.25,128.50,78.93,00:54:03,
343806845.25,128.50,77.95,00:54:05,
343806847.26,129.94,78.90,00:54:07,
343806849.26,128.50,78.93,00:54:09,
343806851.26,128.50,77.95,00:54:11,
343806853.26,127.87,78.11,00:54:13,
343806855.26,128.66,78.24,00:54:15,
343806857.26,130.71,78.06,00:54:17,
343806859.27,128.50,77.95,00:54:19,
343806861.27,129.14,77.79,00:54:21,
343806863.27,127.27,79.23,00:54:23,
343806865.27,128.50,76.98,00:54:25,
343806867.27,128.50,77.95,00:54:27,
343806869.28,128.50,77.95,00:54:29,
343806871.28,129.94,77.92,00:54:31,
343806873.28,128.50,77.95,00:54:33,
343806875.28,128.50,78.93,00:54:35,
343806877.28,127.87,79.08,00:54:37,
